,product_name,price,seller,location,number_sold,rating,link
10,SILVER PERAK ISILVER MUHAMMAD MUHAMAD 1OZ 1 OZ 31.1GR + FREE Gift ,630000,PACIH,Depok,10,5.0,https://www.tokopedia.com/pacih/silver-perak-isilver-muhammad-muhamad-1oz-1-oz-31-1gr-free-gift?extParam=ivf%3Dfalse%26src%3Dsearch
11,Koin Perak Lunar Year of the Horse 2014 Colorized 1oz Silver Coin,1000000,Bullion Enthusiast,Tangerang Selatan,3,5.0,https://www.tokopedia.com/bullion-enthusiast/koin-perak-lunar-year-of-the-horse-2014-colorized-1oz-silver-coin?extParam=ivf%3Dfalse%26src%3Dsearch
12,Perak Pamp Suisse Silver 1oz,925000,Bullion Enthusiast,Tangerang Selatan,6,5.0,https://www.tokopedia.com/bullion-enthusiast/perak-pamp-suisse-silver-1oz?extParam=ivf%3Dfalse%26src%3Dsearch
13,silver coin makkah al haram 1oz fine silver medal glow in the dark,575000,hb online,Surabaya,2,5.0,https://www.tokopedia.com/honline-2/silver-coin-makkah-al-haram-1oz-fine-silver-medal-glow-in-the-dark?extParam=ivf%3Dfalse%26src%3Dsearch
14,Koin Perak American Silver Eagle (ASE) 2023 1oz Silver Coin,600000,Bullion Enthusiast,Tangerang Selatan,16,5.0,https://www.tokopedia.com/bullion-enthusiast/koin-perak-american-silver-eagle-ase-2023-1oz-silver-coin?extParam=ivf%3Dfalse%26src%3Dsearch
15,Koin Perak American Silver Eagle (ASE) 2008 1oz Silver Coin,625000,Bullion Enthusiast,Tangerang Selatan,2,5.0,https://www.tokopedia.com/bullion-enthusiast/koin-perak-american-silver-eagle-ase-2008-1oz-silver-coin?extParam=ivf%3Dfalse%26src%3Dsearch
16,Koin Perak Maple Leaf 2023 1 oz Silver Coin,525000,Bullion Enthusiast,Tangerang Selatan,27,4.9,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_jao_jFHsHpbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJf6_ja6Ana6_nDUMoFyaUEH_JFHmFircYpq9z2Qfdi6sJabm-xQcri6i-xQIzwqfuNPfYagVYjg3gxP3h7UiFiQSuWyMua9fYM9fVjraUEHsHDUMNOQ3-BrBYxgIowrMuhUstaoZFiyfV79fBjraUE3pep6_gPbm-X9foxQMz2gcV7guYxgIHi6sH7bm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6sJaoAjXo_KNomFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoq_e7_32zoJN1gpo6ucoR_M2-8JNJyfBHe72kgJxGgMHauMxsQ1N5Z325q1O2oAzouVjO_1zVHJOJgpC6uJJp_1zzH1B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qMrh_1zGQu2IZ_-Hucrh3uz-PJNJ1MW6epn7332uHjh91_zgQu2W_OzjQu2JuMB6q1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9Pd3I2z8jY13sxMZJdFyBxd6VjaZ3BHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z926zJVO_Bzu8jOkz_C68jVE_uzS8jNNZ9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBk1_C6epea_OzoH7OJz_zvucWN_BzgoJBXHA7ibm-sQIupPcua9fBj9RyaUstp6_jRbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUaopyNUiFioAHNoiUDUsHdHpHi9ZFiy3h7g9-Xy9zB9fWB89P5rMei6i-0QfBXUICBrMV0UcYEUiFigR-5P9CwrRzay9zBgRji6BDhbA-Pbm-FrMBsguYiq3ei6sJhHAnDUMP5y3hwq3ei6sUDUMDaqOYjq9o7y3NsguYpyfYagZUEHmdaHpUNH_jNosJaH_eFos1OoZFigMBXy3hwrMuDrMVXqOYxgIosQR-BUstho_yNbsKaosJfHpyaHsjNHiFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmd7HAUOoArh6AHa6_1Oo_ypwe?management_type=1&t=desktop&pub_id=0&pub_unit=0&page=1&pub_domain=0&src=search&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fbullion-enthusiast%2Fkoin-perak-maple-leaf-2023-1-oz-silver-coin%3FextParam%3Divf%253Dtrue%26src%3Dtopads&keywords=perak+1oz&ob=23&is_search=1
17,Perak Batangan 10 Oz 311 gr RCM Silver Bar nadir gram dirham koin coin,5346570,GOLD DINAR,Jakarta Timur,100,5.0,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AUposrRHsnDUMVj9RzNrc1i6sJDUSupg9-wq3ei6iUFUiFiPcBWgZUEH_yN6_UdHAUNHmFiyRCsUst7HAnDUSC5rfB7q3YXUsthHaFiy3hSUstiy3h79fWB89P5rMzwgcuMy9uDPmUDUMNOQ3-BrBY5gBYxgIHi6sUpbm-XP3Oig9-wy3zp9R-BrZUEHs1DUMoxPVY2gIHi6BD7Hpjf9ZFiQBYsy3Njq3zxPcuwy3zpUstpomFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUstd6_eXo_Ja6ZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ32SH1OJZMOqz7ja_VzSHuB1Z9z6zV-0_jHFoVBku_-HuOJ733OqQ1Y1gcOqzVg2_MB-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR8VxE192vuVtdgjx6Hc-y8AxgHjB2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BN_M2zP1OkZ9xoqMrp_M20H1OJ3_-vuVB2_JoG8Bja69BqusBE3BPc8ujagfBvq1BE_uzSP1OE_9xvucPd_jz0H7N1u_-ouco2gBJYvZUDUMoDP9o7g9-wq3zwPsUi6s1fHsKDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsURosjibmU7HpjfUiFiHpKpHa-Pbm-xQIzBrMNxPcuwqfuNPfYagmUEUMW5q3dKrcuay3DKQRtibm-FrMBsguYiq3ei6seFHmFigfYxQVY2gmUEHiFiqp-09fz2rRzxQMoB9RosQR-BUstFbsUpHsjh6_jfH_UhoAnfo_1Obm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6sJFHsJX6_JdHpJh6_nNHprpHZFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmdaoAedo_jdosedopnpHArFHR7?page=1&is_search=1&src=search&pub_domain=0&keywords=perak+1oz&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fgold-dinar%2Fperak-batangan-10-oz-311-gr-rcm-silver-bar-nadir-gram-dirham-koin-coin%3FextParam%3Divf%253Dfalse%26src%3Dtopads&pub_id=0&management_type=1&t=desktop&pub_unit=0&ob=23
18,Koin Perak Canadian Lucky Dragon High Relief 2020 1 oz Silver Coin,875000,Bullion Enthusiast,Tangerang Selatan,6,5.0,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_jfH_j7HArFbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJf6_ja6Ana6_nDUMoFyaUEH_nFHmFircYpq9z2Qfdi6sJ7bm-xQcri6i-xQIzwqfuNPfYagVYjg3gxP3h7UiFiQSuWyMua9fYM9fVjraUEHsHDUMNOQ3-BrBYxgIowrMuhUstaoZFiyfV79fBjraUE3pep6_gPbm-X9foxQMz2gcV7guYxgIHi6sH7bm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6sJhH_JXo_naoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo1pea_M2gHjNk3_-6qBja_M2gHjNk3_o-q9P23_oZ8uKp_Mhg3J2ky1o-ojBke3BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY2_7zuP7OW3MWgqBB7_7z3qJO2HAC6zOJF_Vztq1N139zqzcx23MOgo1da3MW6u7jaZ3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY2yjzcgjNJ__u6QSKdypoZPcgU8c2gq1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjON_uH781Y1Z_C68MWR_32uHJN1yRx681BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qj7O_BH7H1N1Z_VoqjjF_1zu8jOEZ9B-QsnYUiFiyfhOrRzBrBY2gVYfHiUEHpjNoaFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHsrf6ZUDUsep6_yibmUp6AHpUB7DUMVDPcuaQMV7guY0g9BRQR-jUstiqfY2QiCFg9-xqaC58iUDUMPaQRuF9Ro7rMV7g3PNUs2QHZFa9ZFirI-2yfuwyMBjUsthHAnFbm-SQfVD9fBjUstabm-0HMWwgcBpPcVXyfuwrfo5rM1i6snXHsHa6_JN6_yhHsJ7HAyOo_1DUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEH_URHmdFH_1hHsyfoA1R6_eRbm-hP3ua8uYag3hay3N09RosQR-BUstFbsJdo_UaHsnOHsKaoAHp6AJOwe?keywords=perak+1oz&r=https%3A%2F%2Fwww.tokopedia.com%2Fbullion-enthusiast%2Fkoin-perak-canadian-lucky-dragon-high-relief-2020-1-oz-silver-coin%3FextParam%3Divf%253Dtrue%26src%3Dtopads&pub_id=0&src=search&management_type=1&is_search=1&pub_unit=0&pub_domain=0&page=1&t=desktop&dv=desktop&ob=23
19,Koin Perak / Silver Coin Panda 1 Oz (31.1 gram)-Fine Silver 999 (2015),750000,Fine Gold Gallery,Jakarta Utara,2,5.0,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6_Ua6_jaoA1DUMVj9RzNrc1i6sJDUSupg9-wq3ei6iUFUiFiPcBWgZUEH_yN6_UdHAUNHmFiyRCsUstRHAnDUSC5rfB7q3YXUsthoZFiy3hSUstiy3h79fWB89P5rMzwgcuMy9uDPmUDUMNOQ3-BrBY5gBYxgIHi6sUpbm-XP3Oig9-wy3zp9R-BrZUEHs1DUMoxPVY2gIHi6BD7Hpjf9ZFiQBYsy3Njq3zxPcuwy3zpUstpomFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUstdo_yXHA1dHZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ32SH1OJZMOqz7ja_VzSHuB1Z9z6zV-0_jHFoVBku_-HuOJ733OqQ1Y1gcOqzVg2_MB-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR8VxE192vuVtdgjx6Hc-y8AxgHjB2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BN_S2SP1YJ__u6zcHh_Bzs8jYJgRx6qBB2_JoG8Bja69BqusBE3BPc8ujagfBvq1BE_1zzP1Nk1_oozJJh_jzoP7OJ_92681tNUiFiyfhOrRzBrBY2gVYfHiUEHpjNoaFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHsrf6ZUDUsep6_yibmUp6AHpUB7DUMVDPcuaQMV7guY0g9BRQR-jUstiqfY2QiCFg9-xqaC58iUDUSCaq3oB9f-2gmUEopnFbm-SQfVD9fBjUstabm-0HMWwgcBpPcVXyfuwrfo5rM1i6snXHsHa6_JN6_yhHsJ7HAyOo_1DUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUE6_nfbsUR6_1p6_ndHpJaHAjDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXHAeRHpHh6AeRH_rN6AJ7H_jOwe?management_type=2&pub_unit=0&pub_id=0&dv=desktop&keywords=perak+1oz&pub_domain=0&page=1&ob=23&src=search&is_search=1&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Ffinegoldgallery%2Fkoin-perak-silver-coin-panda-1-oz-31-1-gram-fine-silver-999-2015%3FextParam%3Divf%253Dfalse%26src%3Dtopads
